"center","id","YNEA1","YNEA2","YNEA3","YNEA4","YNEA5","YNEA6","YNEA7","YNEA8","YNEA9","YNEA10","YNEA11","YNEA12","YNEA13","YNEA14","YNEA15","YNEA16","YNEA17","YNEA18","YNEA19","YNEA20","YNEA21","visit"
"EA","EA40655","1","2","2","0","0","0","3","3","2","2","0","0","0","1","2","2","2","0","1","1","2",18
"EA","EA40664","2","2","2","0","0","1","3","2","2","2","0","0","0","3","3","3","3","0","3","2","3",18
"EA","EA40692","3","3","2","0","0","0","3","2","2","2","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA40724","2","2","2","1","0","0","2","2","2","2","0","0","0","2","2","2","2","0","2","3","2",18
"EA","EA40739","2","2","2","0","0","0","2","2","2","2","0","0","0","2","2","2","2","0","2","2","1",18
"EA","EA40746","3","3","3","2","2","0","3","3","3","3","0","0","0","3","3","3","3","1","3","0","0",18
"EA","EA40752","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA40767","2","3","3","0","0","0","3","3","3","3","0","0","0","0","3","3","3","0","3","3","3",18
"EA","EA40778","1","0","0","1","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA40780","3","3","3","0","0","0",,"2","2","3","0","0","0",,"2","2","2","0","3","3","3",18
"EA","EA40821","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","0","3",18
"EA","EA40849","2","2","2","1","0","0","2","3","2","2","0","0","0","3","2","2","2","0","3","3","3",18
"EA","EA40865","3","2","1","1","1","1","3","2","3","2","1","1","0","3","3","3","2","0","3","3","3",18
"EA","EA40876","2","2","2","1","0","0","3","3","3","2","2","2","0","2","2","2","2","1","2","2","2",18
"EA","EA40882","2","1","1","2","1","1","2","1","1","1","1","1","1","1","0","1","1","1","2","2","3",18
"EA","EA40909","1","1","2","0","0","0","2","1","1","2","0","0","0","2","2","2","1","0",,"3","2",18
"EA","EA40917","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA40925","2","2","3","0","0","0","3","2","2","2","0","0","0","2","2","3","3","0","3","3","2",18
"EA","EA40958","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA40972","0","2","2","1","0","0","3","0","0","0","2","0","3","2","2","3","0","0","0","3","3",18
"EA","EA40986","0","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"EA","EA40994","3","2","2","0","0","0","3","3","2","2","0","0","0","2","3","2","2","0","3","3","3",18
"EA","EA41010","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","2",18
