"center","id","visit","WRAA1","WRAA3","WRAA4","AGE_MO","READ_AS","READ_STD","MATH_AS","MATH_STD","WRAB1","WRAB3"
"MW","MW01690",12,1,36,31,141,504,95,500,90,,
"MW","MW01701",12,1,33,26,147,500,87,493,72,,
"MW","MW01701",16,,,,192,506,86,,,1,38
"MW","MW01736",12,1,32,29,143,497,85,497,84,,
"MW","MW01736",16,,,,191,502,82,,,1,35
"MW","MW01750",12,1,42,29,142,514,111,497,84,,
"MW","MW01750",16,,,,193,473,52,,,1,22
"MW","MW01775",12,1,39,35,153,509,102,509,97,,
"MW","MW01839",12,1,36,28,143,504,95,495,81,,
"MW","MW01846",12,1,39,38,144,509,102,514,106,,
"MW","MW01852",12,1,34,25,141,501,90,492,72,,
"MW","MW01852",16,,,,190,504,84,,,1,36
"MW","MW01867",12,1,29,40,144,486,77,518,111,,
"MW","MW01867",16,,,,194,489,69,,,1,30
"MW","MW01895",12,1,32,37,141,497,85,513.3,107,,
"MW","MW01895",16,,,,192,486,67,,,1,29
"MW","MW01906",12,1,35,36,142,502,93,511,104,,
"MW","MW01906",16,,,,191,509,91,,,1,39
"MW","MW01927",16,,,,194,502,80,,,1,35
"MW","MW01943",12,1,34,32,142,501,90,502,93,,
"MW","MW01943",16,,,,191,506,89,,,1,38
"MW","MW01970",12,1,40,36,142,511,105,511,104,,
"MW","MW01988",12,1,39,29,143,509,103,497,84,,
"MW","MW01992",12,1,25,28,141,476,67,495,81,,
"MW","MW02008",12,1,23,24,140,474,61,487,69,,
"MW","MW02016",16,,,,192,473,52,,,1,22
"MW","MW02041",12,1,26,34,143,480,69,508,99,,
