"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"SO","SO10796","BBN",16,5,5,5,5,5,5,5,5,5,5,7/15/2003
"SO","SO10804","BBN",16,4,5,5,5,5,5,5,5,5,5,1/15/2003
"SO","SO10820","ABW",16,5,3,2,4,5,5,5,5,5,5,1/15/2003
"SO","SO10838","MEL",16,4,5,5,5,2,3,5,3,5,3,5/15/2003
"SO","SO10845","ABW",16,5,2,3,3,5,2,5,5,1,3,1/15/2003
"SO","SO10853","ABW",16,4,4,4,3,4,4,5,4,4,4,1/15/2003
"SO","SO10899","BBN",16,5,5,5,5,5,5,5,5,5,5,8/15/2003
"SO","SO10918","MEL",16,5,5,5,5,5,5,5,5,5,1,3/15/2003
"SO","SO10959","BBN",16,5,5,5,5,5,4,5,5,4,5,6/15/2003
"SO","SO10993","BBN",16,4,4,5,5,5,5,5,5,4,5,8/15/2003
"SO","SO11050","MEL",16,5,5,5,5,5,5,5,5,5,5,2/15/2003
"SO","SO11069","MEL",16,5,5,5,5,3,3,5,3,5,3,7/15/2003
"SO","SO11075","MEL",16,5,5,4,5,1,5,5,5,5,5,7/15/2003
"SO","SO11083","BBN",16,3,4,4,4,3,3,4,4,3,4,9/15/2003
"SO","SO11102","DJL",16,5,5,5,5,5,5,5,5,5,5,3/15/2003
"SO","SO11147","DJL",16,3,3,3,3,3,3,3,3,3,3,8/15/2003
"SO","SO11151","DJL",16,1,5,4,5,5,4,4,2,3,3,12/15/2003
"SO","SO11208","BBN",16,5,5,5,5,5,5,5,5,4,5,6/15/2003
"SO","SO11216","ABW",16,5,5,5,5,5,4,5,5,4,5,12/15/2002
"SO","SO11234","BBN",16,5,5,4,5,5,5,5,5,4,4,1/15/2004
"SO","SO11241","MEL",16,5,5,3,5,3,5,3,5,5,5,5/15/2003
"SO","SO11257","DJL",16,5,5,3,4,4,4,5,5,5,5,7/15/2003
"SO","SO11262","BBN",16,3,5,3,5,4,5,5,4,5,4,7/15/2003
"SO","SO11273","BBN",16,4,4,5,5,5,5,5,5,4,4,8/15/2003
"SO","SO11290","ABW",16,5,5,4,5,5,4,5,5,4,5,3/15/2003
"SO","SO11318","ABW",16,4,4,3,4,4,3,5,5,3,4,3/15/2003
"SO","SO11359","ABW",16,4,5,3,5,4,3,3,5,5,4,12/15/2002
"SO","SO11387","BBN",16,4,3,1,5,3,4,5,5,4,5,3/15/2003
"SO","SO11393","ABW",16,3,5,2,5,2,3,5,2,4,2,12/15/2002
"SO","SO11407","MEL",16,5,3,1,5,3,3,5,1,3,5,5/15/2003
"SO","SO11415","ABW",16,4,5,1,5,5,5,5,5,3,5,12/15/2002
"SO","SO11491","ABW",16,5,4,1,4,4,4,5,5,4,5,1/15/2003
"SO","SO11504","ABW",16,5,4,4,5,4,4,5,5,4,4,3/15/2003
"SO","SO11520","ABW",16,3,3,3,4,4,4,3,5,5,5,1/15/2003
"SO","SO11538","BBN",16,4,2,3,4,3,2,4,2,3,5,3/15/2003
"SO","SO11581","ABW",16,2,4,3,4,2,4,3,4,2,3,3/15/2003
"SO","SO11600","MEL",16,5,1,5,5,1,1,5,1,1,5,5/15/2003
"SO","SO11613","BBN",16,5,5,5,5,4,5,5,3,3,3,2/15/2003
"SO","SO11621","BBN",16,2,4,4,5,4,4,5,5,3,5,3/15/2003
"SO","SO11637","BBN",16,5,4,4,3,5,5,5,5,5,5,4/15/2003
"SO","SO11654","BBN",16,5,5,5,5,4,4,5,5,5,5,2/15/2003
"SO","SO11682","BBN",16,4,4,4,4,4,4,4,3,3,4,3/15/2003
"SO","SO11717","ABW",16,3,4,4,4,3,3,5,5,5,3,3/15/2003
"SO","SO11733","MEL",16,5,1,5,5,5,5,5,5,5,5,6/15/2003
"SO","SO11758","BBN",16,3,4,3,4,4,4,4,4,3,3,3/15/2004
"SO","SO11772","BBN",16,2,5,2,5,5,4,5,5,2,2,3/15/2004
"SO","SO11786","BBN",16,5,4,3,5,4,5,5,5,5,5,4/15/2003
