EA45702EA618 02                             1E                            N1                              435555554444425543244321198JAS15-Jan-1997
EA45735EA611 11                             0C                            G2                              324444555345554344535441429BEB15-Jul-1996
EA45747EA6 0 61                             0C                            N2                              133355555351422234344231391DNG15-Jul-1996
EA45751EA6 0 51                             0C                            N2                              555555555345322342254232491BST15-Sep-1996
EA45768EA6 4 01                             1C                            N2                              253435434233253233434343319BEB15-Aug-1996
EA45796EA6 3 01                             1FAPARTMENT WITHIN A HOUSE    N2                              135555551555555551155211548JRB15-Aug-1996
EA45812EA6 2111                             0C                            N2                              224455443214212222443142586CET15-Aug-1997
EA45845EA634111                             0C                            N1                              333345553334353225433333411BEB15-May-1997
EA45881EA6 0 41                             0E                            N2                              111355331113351315433113518JAS15-Nov-1996
EA45899EA619 61                             0C                            N1                              345545445345432333334333311BEB15-Apr-1997
EA45918EA633 01                             0C                            N3                              114555555554545555555111588CET15-Oct-1996
EA45932EA6 3 61                             0C                             2                              153455555342351241144332441BEB15-Feb-1997
EA45987EA6 7 02                             1E                            N2                              111455211555515551155111488CET15-Dec-1997
EA45993EA6 0 31                             0C                            H2                              151144311111155111125555519JAS15-Dec-1996
MW00013MW6 0 41                             0B                            G2                              111331111111151113511535516MMC15-Feb-1998
MW00136MW6 8 01                             0B                            N2                              444435555444342344432334319FJN15-Jun-2001
MW00148MW6 0 81                             1E                            N2                              11 355133111333333335113561RLH15-Mar-2000
MW00150MW6 1 02                             1E                            N2                              135555535553515551155111388RLH15-Mar-2000
MW00169MW6 0 61                             0B                            L3                              113553114225351114543333519CAK15-Jan-2000
MW00175MW624 01                             1E                            N2                              153553553121355315533113511JBG15-Jul-1998
MW00183MW619  1                             0B                            N2                              333344443344233231144232293HLA15-Mar-1998
MW00225MW6 0 92                             1C                            I4MILITARY HOUSING              234455555434545552155111497HLA15-Apr-1998
MW00233MW6 4  2                             1E                            N1                              244444445445515555455221218KS 15-Aug-1999
MW00258MW6 0 41                             1C                            H2                              1113554554415155554441135  MDA15-Mar-1998
MW00272MW6 3  2                             1E                            N2                              245545555555555553254222161HLA15-Jun-1998
MW00286MW6 9 01                             0B                            N3                              333333221211333334243222592HLA15-Mar-1998
MW00306MW6 1 01                             1E                            N2                              153555533355515553153222391MDA15-May-1998
MW00319MW6 1 02                             0B                            N2                              153455355543515553155111185FJN15-Sep-2000
MW00327MW6 3  1                             0B                            N1                              124415444442511551144211198HLA15-Apr-1998
MW00331MW6 7 01                             0B                            N2                              555555555341255514522332511HLA15-Apr-1998
MW00355MW6 2 02                             1E                            N1                              555555535352515551155111298HLA15-Jun-1998
MW00364MW6 5 02                             0B                            N2                              353555555331353334242222468RLH15-Mar-2000
MW00370MW625 02                             1E                            N2                              125555555341455444145424548FJN15-Jun-2000
MW00388MW623 01                             0B                            G2                              354545555453355353452111414RRJ15-Jun-1999
MW00392MW6 0 61                             0E                            N2                              11114111111 311115535555586KS 15-Sep-1999
MW00408MW612 01                             0B                            H2                              344454444343355343343222311HLA15-Apr-1998
MW00429MW624 01                             1E                            N1                              115555355331345333435241591RRJ15-Feb-2000
MW00434MW6 3 41                             0B                            N2                              143455555331151113531354311JBH15-May-1998
MW00457MW6 3 01                             0B                            H2                              154555553342424435343222484HLA15-Jun-1998
MW00462MW6 4 01                             0B                            N2                              253353554443352353334223491RRJ15-May-1998
MW00473MW615 01                             0C                            N2                              153334434241353335432333554MDA15-Apr-1998
MW00485MW615 01                             0C                            N2                              153334434241353335432333554MDA15-Apr-1998
MW00503MW630 01                             0C                            G2                              335535555353354353553113314RLH15-Jun-2000
MW00511MW630 01                             0A                            G3                              343425443325353133533244419FJN15-Dec-2000
MW00524MW6 2 01                             0B                            N2                              114355555335515553155111188EW 15-Jun-2000
MW00539MW6 4 01                             0B                            N2                              133353333331153133333333316HLA15-Mar-1998
MW00546MW610  1                             0C                            G2                              353555444243334333333333314HLA15-Jan-1999
MW00552MW6 0 21                             1E                            N3                              111245555333353331533333511CAK15-Nov-1999
MW00567MW6 1 62                             0B                            H2                              154424455344422344154221487HLA15-Sep-1998
MW00578MW6 1 62                             0B                            H2                              154424455344422344154221487HLA15-Sep-1998
MW00580MW6 6  1                             0B                            N2                              114414343332423324244233444HLA15-Nov-1998
MW00604MW6 2 03                             0C                            N2                              1 3545535555515551155111381RLH15-Apr-2000
MW00612MW6 6  1                             0B                            N2                              155555555435535455444111498CAK15-Sep-1999
MW00638MW611 01                             0B                            N2                              134444211221153234433 44416JBH15-May-1998
MW00645MW6 5 01                             0A                            N2                              11341331331145111533311134 CAK15-Sep-1999
MW00653MW628 01                             0B                            N3                              131314233121311313531334311MRP15-Mar-1998
MW00666MW6 0 71                             0B                            N2                              111415313111351115451 33582MDA15-Mar-1998
MW00677MW6 0111                             0B                            N2                              143551331111255115552323519HLA15-Mar-1998
MW00699MW6 5 01                             0B                            N2                              111151554211151145244111544MDA15-Mar-1998
MW00718MW6 0101                             0B                            N2                              555555555555515551155311188HLA15-Feb-1998
MW00726MW6 0111                             0C                            N2                              121345211112331442444212519MDA15-Apr-1998
MW00732MW6 0 61                             0B                            N2                              333344444433334233333333313HLA15-Aug-1998
MW00744MW6 0 21                             0B                            N3                              111555114131152131413322516EW 15-Jul-2000
MW00771MW6 7 01                             0C                            N2                              444435554344343343444343414CAK15-Oct-1999
MW00807MW6 4 61                             1C                            H2                              252545544332425444254211348RRJ15-Sep-2000
MW00830MW6 0 92                             1B                            H2                              555545555455515552155222381HLA15-Mar-1998
MW00874MW6 0101                             1E                            H2                              144514435 31355533451111572RRJ15-Jun-1999
MW00889MW6 7 01                             0A                            G2                              343422224554234123544554518KS 15-Oct-1999
MW00891MW6 0 81                             1E                            N2                              313555555555515551155111369MDA15-Apr-1998
MW00902MW629  1                             1C                            G2                              111155331311155135551333511RRJ15-Nov-2000
MW00923MW6 0 21                             0B                            N3                              141113111111151115511555516HLA15-Aug-1998
MW00947MW622 01                             0B                            N2                              555555555454425453154232394HLA15-Aug-1998
MW00951MW6 6 01                             0B                            H2                              151555111111151115511555556HLA15-Feb-1998
MW00968MW6 3  2                             0C                            N2                              344455535533351251555113169RRJ15-Jan-1999
MW00979MW6 1102                             1C                            H3                              111455315535515553155111388LF 15-Jun-2001
MW01009MW6 1 01                             0B                            N2                              555555554313152133243232466FJN15-Aug-2000
MW01033MW6 0 21                             1E                            N2                              113355323235515551155111368MDA15-Apr-1998
MW01040MW617 01                             0B                            N2                              151521113321151111545555519EW 15-Sep-2000
MW01061MW6 7  1                             0C                            G2                              153553513211355343 53232529FJN15-Jun-2000
MW01072MW627  1                             0A                            G2                              144555555331155151353111534MRP15-Jun-1998
MW01086MW610 01                             0B                            N1                              555555453555411544254111487MMC15-Jul-1998
MW01105MW6 5 61                             0B                            N2                              334445555344334333143222331JBG15-Aug-1998
MW01118MW6 6  1                             1E                            N3                              55555555555351145115512119 HLA15-Apr-1998
MW01126MW6 0 61                             1B                            N2                              113434445211153332541555519RLH15-Jun-2000
MW01144MW6 4 01                             0A                            G2                              555555355551251115541455513HLA15-Aug-1998
MW01160MW622 01                             1B                            N1                              145555555351535553455111414RLP15-Dec-1999
MW01171MW6   41                             0FHOUSE IS DIVIDED INTO APT.  N2                              135545545444425553155131398HLA15-Dec-1998
MW01187MW610 01                             1C                            N2                              1134455535555155511551111 8CAK15-Feb-2000
MW01193MW6 0 21                             0B                            N2                              112423222231332344144232528HLA15-Jan-1999
MW01200MW616 01                             0A                            H2                              114424244141454445443333519HLA15-Jun-1998
MW01249MW6 9101                             0A                            G2                              243555333134154125533344554HLA15-Aug-1998
MW01254MW6 1 02                             0B                            H2                              343333334243454435544444519HLA15-Apr-1998
MW01276MW6 5 01                             0B                            N2                              152555225141151115154551511MMC15-Jul-1998
MW01302MW6 5 61                             0B                            N2                              111513555111311351555111519HLA15-Jun-1998
MW01323MW6 4  1                             0B                            N1                              124444444444414551144211568HLA15-Nov-1998
MW01335MW6 1 01                             1E                            N2                              113415314344513542155211427HLA15-Jun-1998
MW01351MW6 0 31                             0B                            N2                              244454332232152225543333416HLA15-Feb-1998
MW01368MW6 1 03                             0C                            G2                              555555555555515551155111187KS 15-Nov-1999
MW01396MW6 5 01                             0FMID RISE 12 UNITS           N2                              333355555554415442155111398JBH15-Jun-1998
MW01404MW613  1                             0B                            H2                              354553553311154113531113513HLA15-Dec-1998
MW01412MW6 4 01                             1B                            N2                              111115545111255415551555514MRP15-Apr-1998
MW01420MW6 3 61                             1E                            H2                              111353513133353211545143596JBG15-Jul-1998
MW01438MW6 0 52                             1B                            H2                              115535555355333333344222598CAK15-Mar-2000
MW01453MW6 0113                             1E                            N2                              155555555555511555155221347HLA15-Sep-1998
MW01466MW6 1  1                             0B                            N2                              1133333333333323331332224 6HLA15-Apr-1998
MW01481MW6 2  1                             0A                            G3                              113313353115355445431311419HLA15-Aug-1998
MW01515MW6 0 51                             0A                            N2                              143515541231355115521233514HLA15-May-1998
MW01528MW629  1                             1E                            N2                              555555553545535443145111181CAK15-Aug-1999
MW01530MW6 2 61                             0B                            N1                              333315335222331333444112499KS 15-Oct-1999
MW01542MW610 01                             1E                            N1                              135555555545511552155111298RRJ15-Jun-1999
MW01556MW6 4 01                             0B                            N2                              111445115154515555252222599HLA15-May-1998
MW01589MW650 01                             1C                            G2                              124435533333251143333321113RLH15-Dec-1999
MW01591MW6 2 01                             0B                            N2                              335555555333351355355133514RRJ15-Jan-2000
MW01608MW6 0101                             0B                            G2                              144555444333115115542353476RRJ15-Oct-1998
MW01629MW6 1 61                             0B                            N2                              112244333113151124514244519RRJ15-May-1998
MW01634MW610 01                             0A                            G2                              333355345321112122511111516FJN15-Dec-2000
MW01657MW6 0 31                             0B                            N2                              111313311355515542155111599MWS15-Dec-1998
MW01685MW6 0 31                             0A                            N2                              111311311111151115511345516HLA15-Apr-1998
